date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
"Wednesday, November 23, 2011",28,24,0,8.7,7,1,0,4:26 AM,3:53 PM,6:43 AM,5:34 PM,11,26,26,26,23,0,39,0,1014,26,10,202,12
"Wednesday, November 23, 2011",28,24,0,8.7,7,1,0,4:26 AM,3:53 PM,6:43 AM,5:34 PM,12,25,25,25,21,0,45,0,1013,25,10,129,12
"Wednesday, November 23, 2011",28,24,0,8.7,7,1,0,4:26 AM,3:53 PM,6:43 AM,5:34 PM,11,25,25,24,25,5,42,0,1014,24,10,162,15
"Wednesday, November 23, 2011",28,24,0,8.7,7,7,0,4:26 AM,3:53 PM,6:43 AM,5:34 PM,11,27,27,27,10,18,38,0,1016,27,10,216,8
"Wednesday, November 23, 2011",28,24,0,8.7,7,7,0,4:26 AM,3:53 PM,6:43 AM,5:34 PM,16,28,28,28,20,12,47,0,1014,28,10,305,17
"Wednesday, November 23, 2011",28,24,0,8.7,7,7,0,4:26 AM,3:53 PM,6:43 AM,5:34 PM,19,28,28,27,27,19,61,0,1013,27,10,332,22
"Wednesday, November 23, 2011",28,24,0,8.7,7,5,0,4:26 AM,3:53 PM,6:43 AM,5:34 PM,19,26,26,25,42,22,71,2.6,1014,25,7,322,26
"Wednesday, November 23, 2011",28,24,0,8.7,7,1,0,4:26 AM,3:53 PM,6:43 AM,5:34 PM,19,26,26,24,33,22,70,0,1015,24,10,319,24
"Thursday, November 24, 2011",25,23,0,8.7,6,1,0,5:34 AM,4:46 PM,6:44 AM,5:34 PM,17,26,26,24,31,26,67,0,1016,24,10,315,23
"Thursday, November 24, 2011",25,23,0,8.7,6,1,0,5:34 AM,4:46 PM,6:44 AM,5:34 PM,16,25,25,23,22,13,66,0,1015,23,10,309,15
"Thursday, November 24, 2011",25,23,0,8.7,6,1,0,5:34 AM,4:46 PM,6:44 AM,5:34 PM,16,25,25,23,26,16,67,0,1016,23,10,303,18
"Thursday, November 24, 2011",25,23,0,8.7,6,6,0,5:34 AM,4:46 PM,6:44 AM,5:34 PM,15,25,25,24,19,4,57,0,1017,24,10,307,16
"Thursday, November 24, 2011",25,23,0,8.7,6,6,0,5:34 AM,4:46 PM,6:44 AM,5:34 PM,14,26,26,25,23,2,52,0,1016,25,10,308,20
"Thursday, November 24, 2011",25,23,0,8.7,6,6,0,5:34 AM,4:46 PM,6:44 AM,5:34 PM,15,26,26,25,21,5,54,0,1014,25,10,318,17
"Thursday, November 24, 2011",25,23,0,8.7,6,6,0,5:34 AM,4:46 PM,6:44 AM,5:34 PM,15,25,25,24,19,4,57,0,1015,24,10,313,14
"Thursday, November 24, 2011",25,23,0,8.7,6,1,0,5:34 AM,4:46 PM,6:44 AM,5:34 PM,14,25,25,23,14,6,58,0,1016,23,10,305,10
"Friday, November 25, 2011",25,22,0,8.7,6,1,0,6:41 AM,5:44 PM,6:45 AM,5:34 PM,14,25,25,23,18,11,59,0,1016,23,10,297,12
"Friday, November 25, 2011",25,22,0,8.7,6,1,0,6:41 AM,5:44 PM,6:45 AM,5:34 PM,14,22,25,22,9,22,61,0,1015,22,10,292,5
"Friday, November 25, 2011",25,22,0,8.7,6,1,0,6:41 AM,5:44 PM,6:45 AM,5:34 PM,15,25,25,22,15,22,63,0,1016,22,10,309,10
"Friday, November 25, 2011",25,22,0,8.7,6,6,0,6:41 AM,5:44 PM,6:45 AM,5:34 PM,15,25,25,24,17,12,58,0,1016,24,10,312,13
"Friday, November 25, 2011",25,22,0,8.7,6,6,0,6:41 AM,5:44 PM,6:45 AM,5:34 PM,16,26,26,25,24,10,56,0,1015,25,10,312,21
"Friday, November 25, 2011",25,22,0,8.7,6,6,0,6:41 AM,5:44 PM,6:45 AM,5:34 PM,14,26,26,25,21,27,53,0,1014,25,10,308,17
"Friday, November 25, 2011",25,22,0,8.7,6,6,0,6:41 AM,5:44 PM,6:45 AM,5:34 PM,13,25,25,24,23,13,51,0,1015,24,10,312,18
"Friday, November 25, 2011",25,22,0,8.7,6,1,0,6:41 AM,5:44 PM,6:45 AM,5:34 PM,12,25,25,23,18,4,50,0,1015,23,10,324,13
"Saturday, November 26, 2011",25,21,0,8.7,6,1,1,7:47 AM,6:45 PM,6:45 AM,5:34 PM,11,24,24,22,16,0,50,0,1014,22,10,324,10
"Saturday, November 26, 2011",25,21,0,8.7,6,1,1,7:47 AM,6:45 PM,6:45 AM,5:34 PM,11,21,24,21,15,0,52,0,1014,21,10,308,9
"Saturday, November 26, 2011",25,21,0,8.7,6,1,1,7:47 AM,6:45 PM,6:45 AM,5:34 PM,11,21,24,21,17,0,53,0,1015,21,10,328,10
"Saturday, November 26, 2011",25,21,0,8.7,6,6,1,7:47 AM,6:45 PM,6:45 AM,5:34 PM,12,25,25,24,15,1,47,0,1016,24,10,324,12
"Saturday, November 26, 2011",25,21,0,8.7,6,7,1,7:47 AM,6:45 PM,6:45 AM,5:34 PM,13,26,26,25,17,3,47,0,1014,25,10,333,14
"Saturday, November 26, 2011",25,21,0,8.7,6,6,1,7:47 AM,6:45 PM,6:45 AM,5:34 PM,16,26,26,25,30,14,56,0,1012,25,10,335,24
"Saturday, November 26, 2011",25,21,0,8.7,6,6,1,7:47 AM,6:45 PM,6:45 AM,5:34 PM,16,25,25,24,28,44,62,0,1013,24,10,340,21
"Saturday, November 26, 2011",25,21,0,8.7,6,1,1,7:47 AM,6:45 PM,6:45 AM,5:34 PM,16,25,25,24,22,46,63,0,1014,24,10,354,15
"Sunday, November 27, 2011",25,22,0,8.7,6,1,8,8:46 AM,7:49 PM,6:46 AM,5:34 PM,16,25,25,23,19,23,65,0,1015,23,10,342,13
"Sunday, November 27, 2011",25,22,0,8.7,6,1,8,8:46 AM,7:49 PM,6:46 AM,5:34 PM,15,25,25,22,7,30,63,0,1014,22,10,337,4
"Sunday, November 27, 2011",25,22,0,8.7,6,1,8,8:46 AM,7:49 PM,6:46 AM,5:34 PM,15,22,25,22,9,25,63,0,1015,22,10,5,5
"Sunday, November 27, 2011",25,22,0,8.7,6,6,8,8:46 AM,7:49 PM,6:46 AM,5:34 PM,14,25,25,24,8,46,55,0,1016,24,10,5,6
"Sunday, November 27, 2011",25,22,0,8.7,6,7,8,8:46 AM,7:49 PM,6:46 AM,5:34 PM,15,26,26,25,25,42,55,0,1016,25,10,320,21
"Sunday, November 27, 2011",25,22,0,8.7,6,7,8,8:46 AM,7:49 PM,6:46 AM,5:34 PM,16,26,26,25,22,23,56,0,1013,25,10,344,18
"Sunday, November 27, 2011",25,22,0,8.7,6,6,8,8:46 AM,7:49 PM,6:46 AM,5:34 PM,16,26,26,24,21,19,59,0,1015,24,10,350,15
"Sunday, November 27, 2011",25,22,0,8.7,6,1,8,8:46 AM,7:49 PM,6:46 AM,5:34 PM,15,25,25,24,19,9,59,0,1015,24,10,2,13
"Monday, November 28, 2011",27,23,0,8.7,6,1,16,9:40 AM,8:51 PM,6:47 AM,5:34 PM,15,25,25,23,15,8,58,0,1015,23,10,355,9
"Monday, November 28, 2011",27,23,0,8.7,6,1,16,9:40 AM,8:51 PM,6:47 AM,5:34 PM,14,25,25,23,12,18,59,0,1014,23,10,23,7
"Monday, November 28, 2011",27,23,0,8.7,6,1,16,9:40 AM,8:51 PM,6:47 AM,5:34 PM,14,25,25,23,13,25,60,0,1016,23,10,359,8
"Monday, November 28, 2011",27,23,0,8.7,6,6,16,9:40 AM,8:51 PM,6:47 AM,5:34 PM,14,26,26,25,15,11,51,0,1017,25,10,352,12
"Monday, November 28, 2011",27,23,0,8.7,6,7,16,9:40 AM,8:51 PM,6:47 AM,5:34 PM,15,27,27,27,19,8,48,0,1015,26,10,353,16
"Monday, November 28, 2011",27,23,0,8.7,6,7,16,9:40 AM,8:51 PM,6:47 AM,5:34 PM,16,27,27,27,29,44,52,0,1014,27,10,348,23
"Monday, November 28, 2011",27,23,0,8.7,6,7,16,9:40 AM,8:51 PM,6:47 AM,5:34 PM,16,26,26,25,31,20,58,0,1015,25,10,358,22
"Monday, November 28, 2011",27,23,0,8.7,6,1,16,9:40 AM,8:51 PM,6:47 AM,5:34 PM,16,26,26,25,28,8,58,0,1015,25,10,14,19
"Tuesday, November 29, 2011",30,23,0,8.7,7,1,24,10:27 AM,9:51 PM,6:48 AM,5:34 PM,15,26,26,24,26,7,58,0,1015,24,10,32,17
"Tuesday, November 29, 2011",30,23,0,8.7,7,1,24,10:27 AM,9:51 PM,6:48 AM,5:34 PM,15,25,25,24,21,5,56,0,1014,24,10,31,13
"Tuesday, November 29, 2011",30,23,0,8.7,7,1,24,10:27 AM,9:51 PM,6:48 AM,5:34 PM,14,25,25,23,23,4,57,0,1015,23,10,40,14
"Tuesday, November 29, 2011",30,23,0,8.7,7,7,24,10:27 AM,9:51 PM,6:48 AM,5:34 PM,14,27,27,26,24,3,47,0,1015,26,10,50,19
"Tuesday, November 29, 2011",30,23,0,8.7,7,7,24,10:27 AM,9:51 PM,6:48 AM,5:34 PM,13,28,28,29,18,3,38,0,1012,29,10,73,14
"Tuesday, November 29, 2011",30,23,0,8.7,7,7,24,10:27 AM,9:51 PM,6:48 AM,5:34 PM,14,30,30,30,12,5,38,0,1011,30,10,128,8
"Tuesday, November 29, 2011",30,23,0,8.7,7,7,24,10:27 AM,9:51 PM,6:48 AM,5:34 PM,13,28,28,28,19,3,41,0,1011,28,10,347,10
"Tuesday, November 29, 2011",30,23,0,8.7,7,1,24,10:27 AM,9:51 PM,6:48 AM,5:34 PM,15,27,27,27,23,3,49,0,1012,27,10,21,12
"Wednesday, November 30, 2011",26,23,0,8.7,6,1,31,11:09 AM,10:47 PM,6:48 AM,5:34 PM,14,26,26,26,13,1,50,0,1012,25,10,94,7
"Wednesday, November 30, 2011",26,23,0,8.7,6,1,31,11:09 AM,10:47 PM,6:48 AM,5:34 PM,11,25,25,24,12,2,44,0,1011,24,10,163,6
"Wednesday, November 30, 2011",26,23,0,8.7,6,1,31,11:09 AM,10:47 PM,6:48 AM,5:34 PM,15,25,25,24,20,3,57,0,1013,24,10,275,11
"Wednesday, November 30, 2011",26,23,0,8.7,6,7,31,11:09 AM,10:47 PM,6:48 AM,5:34 PM,18,27,27,26,39,7,62,0,1015,26,10,321,32
"Wednesday, November 30, 2011",26,23,0,8.7,6,7,31,11:09 AM,10:47 PM,6:48 AM,5:34 PM,18,27,27,26,32,21,61,0,1014,26,10,312,27
"Wednesday, November 30, 2011",26,23,0,8.7,6,6,31,11:09 AM,10:47 PM,6:48 AM,5:34 PM,17,26,26,25,26,21,65,0,1013,25,10,311,22
"Wednesday, November 30, 2011",26,23,0,8.7,6,6,31,11:09 AM,10:47 PM,6:48 AM,5:34 PM,18,25,25,23,30,47,70,0,1015,23,10,312,22
"Wednesday, November 30, 2011",26,23,0,8.7,6,1,31,11:09 AM,10:47 PM,6:48 AM,5:34 PM,17,25,25,23,18,43,69,0,1015,23,10,320,13
"Thursday, December 1, 2011",24,22,0,8.7,6,1,37,11:46 AM,11:41 PM,6:49 AM,5:34 PM,17,25,25,22,22,51,70,0,1015,22,10,310,15
"Thursday, December 1, 2011",24,22,0,8.7,6,1,37,11:46 AM,11:41 PM,6:49 AM,5:34 PM,16,25,25,22,29,58,69,0,1015,22,10,314,21
"Thursday, December 1, 2011",24,22,0,8.7,6,1,37,11:46 AM,11:41 PM,6:49 AM,5:34 PM,16,25,25,22,29,76,69,0,1016,22,10,317,22
"Thursday, December 1, 2011",24,22,0,8.7,6,6,37,11:46 AM,11:41 PM,6:49 AM,5:34 PM,15,25,25,23,24,7,61,0,1018,23,10,311,20
