date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-12-11 00:00:00,31,26,0.0,10.2,7,1,21,10:02 AM,10:20 PM,06:56 AM,06:59 PM,24,30,30,27,8,44,85,0.0,1010,26,10,7,5
2018-12-11 03:00:00,31,26,0.0,10.2,7,1,21,10:02 AM,10:20 PM,06:56 AM,06:59 PM,24,29,29,26,10,40,86,0.0,1009,26,10,348,6
2018-12-11 06:00:00,31,26,0.0,10.2,7,1,21,10:02 AM,10:20 PM,06:56 AM,06:59 PM,24,31,31,27,8,34,82,0.0,1010,27,10,355,6
2018-12-11 09:00:00,31,26,0.0,10.2,7,8,21,10:02 AM,10:20 PM,06:56 AM,06:59 PM,24,38,38,32,6,31,63,0.0,1010,31,10,334,5
2018-12-11 12:00:00,31,26,0.0,10.2,7,7,21,10:02 AM,10:20 PM,06:56 AM,06:59 PM,24,37,37,32,7,74,64,0.0,1009,31,10,274,6
2018-12-11 15:00:00,31,26,0.0,10.2,7,7,21,10:02 AM,10:20 PM,06:56 AM,06:59 PM,24,37,37,31,10,33,67,2.7,1007,30,7,326,6
2018-12-11 18:00:00,31,26,0.0,10.2,7,7,21,10:02 AM,10:20 PM,06:56 AM,06:59 PM,24,31,31,27,15,60,84,0.0,1009,27,10,338,10
2018-12-11 21:00:00,31,26,0.0,10.2,7,1,21,10:02 AM,10:20 PM,06:56 AM,06:59 PM,24,31,31,27,14,33,85,1.1,1010,27,9,349,9
2018-12-12 00:00:00,29,26,0.0,10.3,7,1,29,10:49 AM,11:07 PM,06:57 AM,07:00 PM,24,30,30,27,12,56,86,0.0,1010,26,10,341,8
2018-12-12 03:00:00,29,26,0.0,10.3,7,1,29,10:49 AM,11:07 PM,06:57 AM,07:00 PM,24,30,30,26,13,57,86,0.3,1009,26,10,341,9
2018-12-12 06:00:00,29,26,0.0,10.3,7,1,29,10:49 AM,11:07 PM,06:57 AM,07:00 PM,24,30,30,27,7,77,83,0.0,1010,26,10,306,5
2018-12-12 09:00:00,29,26,0.0,10.3,7,6,29,10:49 AM,11:07 PM,06:57 AM,07:00 PM,25,35,35,29,10,50,76,3.6,1011,29,7,277,6
2018-12-12 12:00:00,29,26,0.0,10.3,7,6,29,10:49 AM,11:07 PM,06:57 AM,07:00 PM,24,34,34,29,10,73,73,0.0,1010,29,10,332,8
2018-12-12 15:00:00,29,26,0.0,10.3,7,7,29,10:49 AM,11:07 PM,06:57 AM,07:00 PM,23,33,33,29,9,51,69,0.1,1009,29,10,350,8
2018-12-12 18:00:00,29,26,0.0,10.3,7,7,29,10:49 AM,11:07 PM,06:57 AM,07:00 PM,24,31,31,27,9,60,80,0.0,1010,27,10,357,6
2018-12-12 21:00:00,29,26,0.0,10.3,7,1,29,10:49 AM,11:07 PM,06:57 AM,07:00 PM,24,30,30,27,9,62,83,0.1,1011,26,10,338,6
2018-12-13 00:00:00,29,26,0.0,11.6,6,1,36,11:34 AM,11:52 PM,06:57 AM,07:00 PM,23,30,30,27,10,71,83,0.0,1011,26,10,348,6
2018-12-13 03:00:00,29,26,0.0,11.6,6,1,36,11:34 AM,11:52 PM,06:57 AM,07:00 PM,23,29,29,26,11,59,85,0.1,1010,26,10,344,8
2018-12-13 06:00:00,29,26,0.0,11.6,6,1,36,11:34 AM,11:52 PM,06:57 AM,07:00 PM,23,30,30,27,6,68,83,0.0,1011,26,10,347,4
2018-12-13 09:00:00,29,26,0.0,11.6,6,6,36,11:34 AM,11:52 PM,06:57 AM,07:00 PM,24,34,34,30,7,45,73,1.3,1012,29,10,316,5
2018-12-13 12:00:00,29,26,0.0,11.6,6,7,36,11:34 AM,11:52 PM,06:57 AM,07:00 PM,25,34,34,29,9,48,79,0.0,1011,28,10,350,8
2018-12-13 15:00:00,29,26,0.0,11.6,6,6,36,11:34 AM,11:52 PM,06:57 AM,07:00 PM,24,33,33,29,17,50,75,2.2,1009,29,10,9,11
2018-12-13 18:00:00,29,26,0.0,11.6,6,7,36,11:34 AM,11:52 PM,06:57 AM,07:00 PM,24,30,30,27,11,57,84,0.0,1011,26,10,11,8
2018-12-13 21:00:00,29,26,0.0,11.6,6,1,36,11:34 AM,11:52 PM,06:57 AM,07:00 PM,24,29,29,26,15,80,85,0.0,1011,26,10,16,10
2018-12-14 00:00:00,28,25,0.0,8.9,6,1,43,12:17 PM,No moonset,06:58 AM,07:01 PM,24,29,29,26,12,86,88,0.0,1011,25,10,342,8
2018-12-14 03:00:00,28,25,0.0,8.9,6,1,43,12:17 PM,No moonset,06:58 AM,07:01 PM,23,28,28,25,16,84,88,2.1,1010,25,10,335,10
2018-12-14 06:00:00,28,25,0.0,8.9,6,1,43,12:17 PM,No moonset,06:58 AM,07:01 PM,24,29,29,26,10,72,86,0.0,1011,26,10,330,8
2018-12-14 09:00:00,28,25,0.0,8.9,6,6,43,12:17 PM,No moonset,06:58 AM,07:01 PM,24,33,33,28,14,59,78,2.1,1012,28,10,345,9
2018-12-14 12:00:00,28,25,0.0,8.9,6,6,43,12:17 PM,No moonset,06:58 AM,07:01 PM,24,31,31,27,15,79,85,0.0,1011,27,10,357,10
2018-12-14 15:00:00,28,25,0.0,8.9,6,6,43,12:17 PM,No moonset,06:58 AM,07:01 PM,24,31,31,27,20,49,85,3.9,1010,27,7,13,12
2018-12-14 18:00:00,28,25,0.0,8.9,6,6,43,12:17 PM,No moonset,06:58 AM,07:01 PM,24,29,29,26,10,80,88,0.0,1011,25,10,19,6
2018-12-14 21:00:00,28,25,0.0,8.9,6,1,43,12:17 PM,No moonset,06:58 AM,07:01 PM,24,29,29,26,10,88,90,0.3,1012,25,2,341,6
2018-12-15 00:00:00,29,25,0.0,10.3,6,1,51,01:00 PM,12:36 AM,06:58 AM,07:01 PM,24,29,29,26,10,63,93,0.0,1012,25,9,300,7
2018-12-15 03:00:00,29,25,0.0,10.3,6,1,51,01:00 PM,12:36 AM,06:58 AM,07:01 PM,24,29,29,26,7,56,93,2.4,1010,25,10,318,5
2018-12-15 06:00:00,29,25,0.0,10.3,6,1,51,01:00 PM,12:36 AM,06:58 AM,07:01 PM,24,29,29,25,7,100,92,0.0,1011,25,10,316,5
2018-12-15 09:00:00,29,25,0.0,10.3,6,6,51,01:00 PM,12:36 AM,06:58 AM,07:01 PM,24,31,31,27,5,64,85,0.1,1012,26,10,329,4
2018-12-15 12:00:00,29,25,0.0,10.3,6,7,51,01:00 PM,12:36 AM,06:58 AM,07:01 PM,24,34,34,30,1,56,73,0.0,1010,29,10,330,1
2018-12-15 15:00:00,29,25,0.0,10.3,6,7,51,01:00 PM,12:36 AM,06:58 AM,07:01 PM,24,33,33,29,3,55,74,0.0,1009,28,10,153,2
2018-12-15 18:00:00,29,25,0.0,10.3,6,7,51,01:00 PM,12:36 AM,06:58 AM,07:01 PM,23,30,30,27,3,56,82,0.0,1011,26,10,310,2
2018-12-15 21:00:00,29,25,0.0,10.3,6,1,51,01:00 PM,12:36 AM,06:58 AM,07:01 PM,24,30,30,26,7,46,85,0.6,1012,26,9,321,5
2018-12-16 00:00:00,31,25,0.0,7.6,6,1,58,01:43 PM,01:20 AM,06:59 AM,07:02 PM,24,29,29,26,6,100,87,0.0,1012,25,10,293,4
2018-12-16 03:00:00,31,25,0.0,7.6,6,1,58,01:43 PM,01:20 AM,06:59 AM,07:02 PM,24,29,29,26,7,67,87,0.0,1011,25,10,307,4
